itemNo,material,currency,price,quantity,action,activityType,baseUnit,businessArea,componentId,costCenter,costElement,costEstNo,costingDate,costingType,costingVersion,currencyTypeCode,errMsg,fixValue,fixedValue,itemCategory,ledger,materialCompositeKey,materialDesc,materialSpecProcTypeCosting,mixedCosting,mixingRatio,operation,parentMaterial,parentMaterialCompositeKey,parentMaterialSpecProcTypeCosting,parentPlant,plant,priceUnit,processCategory,procurementAlternative,profitCenter,purcDocNum,purcItemNo,referenceObject,selectionIdType,srcSys,supplier,totalValue,tranSelectionId,transfCostEstNo,transfCostingDate,transfCostingType,transfCostingVersion,transfValuationVariant,transferStrategy,valuationStrategy,valuationVariant,workCenter,reportType
CC020,Mass Air Flow Sensor (Supplier T),EUR,130.00,1,Purchase,Engine Management,EA,Automotive,MAF_001T,CC302,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,CC020_COMP,Mass Air Flow Sensor from Supplier T,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,130.00,Engine Assy,Supplier Quote,PC72,PO12470,1260,,Parts,SAP,SupplierT,130.00,TID_144,TCE_144,2024-07-22,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,EngineShop,COST_COMPARISON
MB091,Fuel Level Sensor,USD,80.00,1,Purchase,Fuel System,EA,Automotive,FLS_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,USD,,,,,Parts,GL116,MB091_COMP,Fuel Level Sensor,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,80.00,Fuel Assy,Supplier Procure,PC66,PO12471,1270,,Parts,SAP,VDO,80.00,TID_145,TCE_145,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
MB092,Oil Pressure Sensor,EUR,45.00,1,Purchase,Engine Management,EA,Automotive,OPS_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB092_COMP,Oil Pressure Sensor,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,45.00,Engine Assy,Supplier Procure,PC63,PO12472,1280,,Parts,SAP,Bosch,45.00,TID_146,TCE_146,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB093,Coolant Expansion Tank,USD,60.00,1,Purchase,Cooling System,EA,Automotive,CET_A,CC106,EL508,CE20240715,2024-07-15,Standard,V1.0,USD,,,,,Parts,GL106,MB093_COMP,Coolant Expansion Tank,Direct Procure,False,0.0,Buy,MB_COOL,MB_COOL_COMP,,PlantG,P700,60.00,Cooling Assy,Supplier Procure,PC56,PO12473,1290,,Parts,SAP,Behr,60.00,TID_147,TCE_147,2024-07-15,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Cooling,GENERAL_COSTING
MB094,Exhaust Gas Temperature Sensor,EUR,100.00,1,Purchase,Emission System,EA,Automotive,EGTS_A,CC112,EL514,CE20240721,2024-07-21,Standard,V1.0,EUR,,,,,Parts,GL112,MB094_COMP,Exhaust Gas Temperature Sensor,Direct Procure,False,0.0,Buy,MB_EMISS,MB_EMISS_COMP,,PlantI,P900,100.00,Emission Assy,Supplier Procure,PC62,PO12474,1300,,Parts,SAP,Bosch,100.00,TID_148,TCE_148,2024-07-21,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Exhaust,GENERAL_COSTING
MB095,Intake Manifold,USD,300.00,1,Purchase,Engine Parts,EA,Automotive,IM_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,USD,,,,,Parts,GL113,MB095_COMP,Intake Manifold Assembly,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,300.00,Engine Assy,Supplier Procure,PC63,PO12475,1310,,Parts,SAP,Mahle,300.00,TID_149,TCE_149,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB096,Valve Cover Gasket,EUR,50.00,1,Purchase,Engine Parts,EA,Automotive,VCG_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB096_COMP,Valve Cover Gasket,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,50.00,Engine Assy,Supplier Procure,PC63,PO12476,1320,,Parts,SAP,Elring,50.00,TID_150,TCE_150,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB097,Oil Pan Gasket,USD,40.00,1,Purchase,Engine Parts,EA,Automotive,OPG_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,USD,,,,,Parts,GL113,MB097_COMP,Oil Pan Gasket,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,40.00,Engine Assy,Supplier Procure,PC63,PO12477,1330,,Parts,SAP,Victor Reinz,40.00,TID_151,TCE_151,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB098,Transmission Filter Kit,EUR,70.00,1,Purchase,Transmission,EA,Automotive,TFK_A,CC115,EL517,CE20240724,2024-07-24,Standard,V1.0,EUR,,,,,Parts,GL115,MB098_COMP,Transmission Filter Kit,Direct Procure,False,0.0,Buy,MB_TRANS,MB_TRANS_COMP,,PlantL,P1200,70.00,Transmission Assy,Supplier Procure,PC65,PO12478,1340,,Parts,SAP,Mann-Filter,70.00,TID_152,TCE_152,2024-07-24,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Transmission,GENERAL_COSTING
MB099,Differential Seal,USD,25.00,1,Purchase,Drivetrain,EA,Automotive,DS_B,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,USD,,,,,Parts,GL111,MB099_COMP,Differential Seal,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,25.00,Drivetrain Assy,Supplier Procure,PC61,PO12479,1350,,Parts,SAP,Corteco,25.00,TID_153,TCE_153,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
MB100,Universal Joint,EUR,40.00,1,Purchase,Drivetrain,EA,Automotive,UJ_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,EUR,,,,,Parts,GL111,MB100_COMP,Universal Joint,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,40.00,Drivetrain Assy,Supplier Procure,PC61,PO12480,1360,,Parts,SAP,GKN,40.00,TID_154,TCE_154,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
